mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.71000004,"14 km WNW of Volcano, Hawaii",1622324420450,1622324617700,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72494482,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72494482&format=geojson,,,,,automatic,0,45,hv,72494482,",hv72494482,",",hv,",",origin,phase-data,",39.0,,0.140000001,90.0,md,earthquake,"M 1.7 - 14 km WNW of Volcano, Hawaii"
0.6,"6km WNW of The Geysers, CA",1622324402260,1622404995407,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567326,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567326&format=geojson,,,,,reviewed,0,6,nc,73567326,",nc73567326,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.00993,0.03,176.0,md,earthquake,"M 0.6 - 6km WNW of The Geysers, CA"
1.45,"24km SSW of New Idria, CA",1622323614980,1622335395113,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567316,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567316&format=geojson,,,,,automatic,0,32,nc,73567316,",nc73567316,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.03125,0.09,174.0,md,earthquake,"M 1.5 - 24km SSW of New Idria, CA"
4.5,"49 km W of Bojnūrd, Iran",1622323058467,1622324107040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efvn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efvn&format=geojson,,,,,reviewed,0,312,us,6000efvn,",us6000efvn,",",us,",",origin,phase-data,",,5.407,0.87,95.0,mb,earthquake,"M 4.5 - 49 km W of Bojnūrd, Iran"
1.16,"6km NW of The Geysers, CA",1622322056070,1622333893971,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567306,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567306&format=geojson,,,,,automatic,0,21,nc,73567306,",nc73567306,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01138,0.02,88.0,md,earthquake,"M 1.2 - 6km NW of The Geysers, CA"
0.85,"2km NW of The Geysers, CA",1622321735490,1622322793998,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567301,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567301&format=geojson,,,,,automatic,0,11,nc,73567301,",nc73567301,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.01355,0.01,97.0,md,earthquake,"M 0.9 - 2km NW of The Geysers, CA"
1.07,"10km WNW of The Geysers, CA",1622320336820,1622321237231,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567296,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567296&format=geojson,,,,,automatic,0,18,nc,73567296,",nc73567296,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.005748,0.02,114.0,md,earthquake,"M 1.1 - 10km WNW of The Geysers, CA"
0.83,"8km WNW of Palomar Observatory, CA",1622319743970,1622390869953,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909704,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909704&format=geojson,,,,,reviewed,0,11,ci,39909704,",ci39909704,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",29.0,0.06805,0.25,40.0,ml,earthquake,"M 0.8 - 8km WNW of Palomar Observatory, CA"
2.0,"11 km SSE of Skwentna, Alaska",1622319433739,1622319861171,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216ur31wd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216ur31wd&format=geojson,,,,,automatic,0,62,ak,0216ur31wd,",ak0216ur31wd,",",ak,",",origin,",,,0.46,,ml,earthquake,"M 2.0 - 11 km SSE of Skwentna, Alaska"
2.91,"5km SSE of Markleeville, CA",1622319095390,1622450873961,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567286,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567286&format=geojson,9.0,3.6,,,reviewed,0,134,nc,73567286,",nc73567286,nn00808408,",",nc,nn,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",28.0,0.07033,0.09,94.0,md,earthquake,"M 2.9 - 5km SSE of Markleeville, CA"
1.28,"17km ESE of Little Lake, CA",1622319079270,1622319721300,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909680,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909680&format=geojson,,,,,automatic,0,25,ci,39909680,",ci39909680,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",22.0,0.08408,0.18,60.0,ml,earthquake,"M 1.3 - 17km ESE of Little Lake, CA"
0.38,"14km SE of Mammoth Lakes, CA",1622319003360,1622356452757,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567291,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567291&format=geojson,,,,,reviewed,0,2,nc,73567291,",nc73567291,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.06453,0.05,283.0,md,earthquake,"M 0.4 - 14km SE of Mammoth Lakes, CA"
1.3,"49 km SSE of Denali National Park, Alaska",1622318477297,1622318688780,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216uqzmq9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216uqzmq9&format=geojson,,,,,automatic,0,26,ak,0216uqzmq9,",ak0216uqzmq9,",",ak,",",origin,",,,1.05,,ml,earthquake,"M 1.3 - 49 km SSE of Denali National Park, Alaska"
1.6,"39km NNE of Toms Place, CA",1622317747130,1622372774820,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567276,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567276&format=geojson,,,,,reviewed,0,39,nc,73567276,",nc73567276,nn00808407,",",nc,nn,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.2025,0.07,100.0,md,earthquake,"M 1.6 - 39km NNE of Toms Place, CA"
1.2,"17km E of Ocotillo, CA",1622316637450,1622316852847,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909664,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909664&format=geojson,,,,,automatic,0,22,ci,39909664,",ci39909664,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.1251,0.24,77.0,ml,earthquake,"M 1.2 - 17km E of Ocotillo, CA"
2.38,"39km NNE of Toms Place, CA",1622316576110,1622371094663,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567266,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567266&format=geojson,,,,,reviewed,0,87,nc,73567266,",nc73567266,nn00808404,",",nc,nn,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",35.0,0.2001,0.07,61.0,md,earthquake,"M 2.4 - 39km NNE of Toms Place, CA"
0.54,"6km WNW of The Geysers, CA",1622316445230,1622368215082,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567261,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567261&format=geojson,,,,,reviewed,0,4,nc,73567261,",nc73567261,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",4.0,0.008991,0.01,142.0,md,earthquake,"M 0.5 - 6km WNW of The Geysers, CA"
2.73,"6 km SSW of Indios, Puerto Rico",1622315899060,1622316940958,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021149009,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021149009&format=geojson,,,,,reviewed,0,115,pr,2021149009,",pr2021149009,",",pr,",",origin,phase-data,",21.0,0.2544,0.31,198.0,md,earthquake,"M 2.7 - 6 km SSW of Indios, Puerto Rico"
1.4,"13 km NW of Benton, California",1622314100929,1622316653801,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00808403,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00808403&format=geojson,,,,,automatic,0,30,nn,00808403,",nn00808403,",",nn,",",origin,phase-data,",10.0,0.347,0.1914,115.24,ml,earthquake,"M 1.4 - 13 km NW of Benton, California"
1.45,"16km ENE of Thermal, CA",1622313575320,1622314239270,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909608,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909608&format=geojson,,,,,automatic,0,32,ci,39909608,",ci39909608,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",37.0,0.06049,0.24,57.0,ml,earthquake,"M 1.5 - 16km ENE of Thermal, CA"
0.74,"7km NW of The Geysers, CA",1622313373330,1622314397130,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567251,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567251&format=geojson,,,,,automatic,0,8,nc,73567251,",nc73567251,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.007522,0.03,55.0,md,earthquake,"M 0.7 - 7km NW of The Geysers, CA"
1.04,"12km NE of Borrego Springs, CA",1622313257980,1622390933960,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909600,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909600&format=geojson,,,,,reviewed,0,17,ci,39909600,",ci39909600,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",33.0,0.03328,0.26,50.0,ml,earthquake,"M 1.0 - 12km NE of Borrego Springs, CA"
3.25,"6km SSE of Estacion Coahuila, B.C., MX",1622312800970,1622391054801,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909592,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909592&format=geojson,1.0,3.1,,,reviewed,0,163,ci,39909592,",ci39909592,us6000efv1,",",ci,us,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",21.0,0.02465,0.39,84.0,ml,earthquake,"M 3.3 - 6km SSE of Estacion Coahuila, B.C., MX"
1.23,"8km ESE of Pinnacles, CA",1622312755860,1622323694097,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567246,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567246&format=geojson,,,,,automatic,0,23,nc,73567246,",nc73567246,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.04149,0.02,132.0,md,earthquake,"M 1.2 - 8km ESE of Pinnacles, CA"
2.39,"41km NNE of Toms Place, CA",1622312113830,1622370198590,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567241,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567241&format=geojson,,,,,reviewed,0,88,nc,73567241,",nc73567241,nn00808400,",",nc,nn,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",39.0,0.1955,0.06,64.0,md,earthquake,"M 2.4 - 41km NNE of Toms Place, CA"
1.7,Southern Alaska,1622311757253,1622311936244,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216upuh8t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216upuh8t&format=geojson,,,,,automatic,0,44,ak,0216upuh8t,",ak0216upuh8t,",",ak,",",origin,",,,0.59,,ml,earthquake,M 1.7 - Southern Alaska
0.88,"6km WNW of The Geysers, CA",1622310996190,1622311994510,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567236,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567236&format=geojson,,,,,automatic,0,12,nc,73567236,",nc73567236,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.009902,0.02,60.0,md,earthquake,"M 0.9 - 6km WNW of The Geysers, CA"
1.6,"31 km E of Denali National Park, Alaska",1622310930820,1622311174787,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216upixlj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216upixlj&format=geojson,,,,,automatic,0,39,ak,0216upixlj,",ak0216upixlj,",",ak,",",origin,",,,0.82,,ml,earthquake,"M 1.6 - 31 km E of Denali National Park, Alaska"
0.87,"4km W of Cobb, CA",1622310187570,1622311156134,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567231&format=geojson,,,,,automatic,0,12,nc,73567231,",nc73567231,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.008896,0.03,121.0,md,earthquake,"M 0.9 - 4km W of Cobb, CA"
1.5,"52 km NNW of Lake Minchumina, Alaska",1622309184944,1622309391583,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216upcpem,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216upcpem&format=geojson,,,,,automatic,0,35,ak,0216upcpem,",ak0216upcpem,",",ak,",",origin,",,,0.39,,ml,earthquake,"M 1.5 - 52 km NNW of Lake Minchumina, Alaska"
1.82,"7 km ENE of Pāhala, Hawaii",1622308730510,1622309060400,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72494212,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72494212&format=geojson,,,,,automatic,0,51,hv,72494212,",hv72494212,",",hv,",",origin,phase-data,",49.0,,0.159999996,135.0,ml,earthquake,"M 1.8 - 7 km ENE of Pāhala, Hawaii"
4.3,"65 km NW of Yonakuni, Japan",1622308720659,1622311426040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efuv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efuv&format=geojson,,,,,reviewed,0,284,us,6000efuv,",us6000efuv,",",us,",",origin,phase-data,",,0.594,0.67,46.0,mb,earthquake,"M 4.3 - 65 km NW of Yonakuni, Japan"
2.67,"67 km SE of Naalehu, Hawaii",1622306465630,1622307068040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72494167,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72494167&format=geojson,,,,,automatic,0,110,hv,72494167,",us6000efus,hv72494167,",",us,hv,",",origin,phase-data,",54.0,,0.140000001,287.0,ml,earthquake,"M 2.7 - 67 km SE of Naalehu, Hawaii"
1.25,"16km NW of Pinnacles, CA",1622306373520,1622321236831,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567221,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567221&format=geojson,,,,,automatic,0,24,nc,73567221,",nc73567221,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.05328,0.01,192.0,md,earthquake,"M 1.3 - 16km NW of Pinnacles, CA"
2.19,"19km WSW of Petrolia, CA",1622306071710,1622319734683,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567216,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567216&format=geojson,1.0,2.2,,,automatic,0,74,nc,73567216,",nc73567216,",",nc,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",9.0,0.1232,0.08,267.0,md,earthquake,"M 2.2 - 19km WSW of Petrolia, CA"
1.7,"62 km ESE of McKinley Park, Alaska",1622304408532,1622304693756,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216uon1as,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216uon1as&format=geojson,,,,,automatic,0,44,ak,0216uon1as,",ak0216uon1as,",",ak,",",origin,",,,0.56,,ml,earthquake,"M 1.7 - 62 km ESE of McKinley Park, Alaska"
1.63,"11km NW of Anza, CA",1622304125680,1622310329050,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909520,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909520&format=geojson,,,,,reviewed,0,41,ci,39909520,",ci39909520,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",55.0,0.03437,0.19,24.0,ml,earthquake,"M 1.6 - 11km NW of Anza, CA"
0.49,"12km NW of Anza, CA",1622303038630,1622303248415,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909512,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909512&format=geojson,,,,,automatic,0,4,ci,39909512,",ci39909512,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.07106,0.22,82.0,ml,earthquake,"M 0.5 - 12km NW of Anza, CA"
2.63,"5 km E of La Parguera, Puerto Rico",1622302380940,1622305150287,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021149008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021149008&format=geojson,,,,,reviewed,0,106,pr,2021149008,",pr2021149008,",",pr,",",origin,phase-data,",10.0,0.1172,0.13,209.0,md,earthquake,"M 2.6 - 5 km E of La Parguera, Puerto Rico"
0.71,"16km ENE of Thermal, CA",1622302255710,1622302467973,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909488,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909488&format=geojson,,,,,automatic,0,8,ci,39909488,",ci39909488,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.06294,0.27,111.0,ml,earthquake,"M 0.7 - 16km ENE of Thermal, CA"
4.5,"55 km E of Nemuro, Japan",1622302225233,1622306129040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efub,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efub&format=geojson,,,,,reviewed,0,312,us,6000efub,",us6000efub,",",us,",",origin,phase-data,",,2.667,1.14,187.0,mb,earthquake,"M 4.5 - 55 km E of Nemuro, Japan"
4.4,"22 km SSE of Conchagua, El Salvador",1622302164324,1622305906040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efu3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efu3&format=geojson,,,,,reviewed,0,298,us,6000efu3,",us6000efu3,",",us,",",origin,phase-data,",,0.622,0.77,146.0,mb,earthquake,"M 4.4 - 22 km SSE of Conchagua, El Salvador"
4.9,"92 km S of Merizo Village, Guam",1622302157006,1622349261084,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efuc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efuc&format=geojson,3.0,2.5,,,reviewed,0,370,us,6000efuc,",us6000efuc,",",us,",",dyfi,origin,phase-data,",,1.189,1.29,58.0,mb,earthquake,"M 4.9 - 92 km S of Merizo Village, Guam"
0.35,"5km WNW of The Geysers, CA",1622301069700,1622302572954,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567206,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567206&format=geojson,,,,,automatic,0,2,nc,73567206,",nc73567206,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.009013,0.01,129.0,md,earthquake,"M 0.4 - 5km WNW of The Geysers, CA"
2.48,"9 km SE of Indios, Puerto Rico",1622300987720,1622305361183,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021149007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021149007&format=geojson,,,,,reviewed,0,95,pr,2021149007,",pr2021149007,",",pr,",",origin,phase-data,",12.0,0.2026,0.15,224.0,md,earthquake,"M 2.5 - 9 km SE of Indios, Puerto Rico"
0.91,"88 km W of Adak, Alaska",1622300677170,1622408754780,,https://earthquake.usgs.gov/earthquakes/eventpage/av91254751,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91254751&format=geojson,,,,,reviewed,0,13,av,91254751,",av91254751,",",av,",",origin,phase-data,",4.0,,0.05,171.0,ml,earthquake,"M 0.9 - 88 km W of Adak, Alaska"
1.0,"9 km ESE of Pleasant Valley, Alaska",1622300495756,1622300706391,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216uo0i4n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216uo0i4n&format=geojson,,,,,automatic,0,15,ak,0216uo0i4n,",ak0216uo0i4n,",",ak,",",origin,",,,0.32,,ml,earthquake,"M 1.0 - 9 km ESE of Pleasant Valley, Alaska"
4.4,"27 km E of Acandí, Colombia",1622300471664,1622311752404,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efu0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efu0&format=geojson,1.0,3.8,,,reviewed,0,298,us,6000efu0,",us6000efu0,",",us,",",dyfi,origin,phase-data,",,0.72,1.06,90.0,mb,earthquake,"M 4.4 - 27 km E of Acandí, Colombia"
1.18,"24km ENE of Arvin, CA",1622300452020,1622300665814,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909432,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909432&format=geojson,,,,,automatic,0,21,ci,39909432,",ci39909432,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.1082,0.15,95.0,ml,earthquake,"M 1.2 - 24km ENE of Arvin, CA"
0.68,"11km SSW of Idyllwild, CA",1622300410290,1622310309573,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909424,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909424&format=geojson,,,,,reviewed,0,7,ci,39909424,",ci39909424,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.05074,0.17,83.0,ml,earthquake,"M 0.7 - 11km SSW of Idyllwild, CA"
1.6,"20 km ENE of Girdwood, Alaska",1622299815225,1622300095184,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216unpj0s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216unpj0s&format=geojson,,,,,automatic,0,39,ak,0216unpj0s,",ak0216unpj0s,",",ak,",",origin,",,,0.62,,ml,earthquake,"M 1.6 - 20 km ENE of Girdwood, Alaska"
2.47,"13 km SSE of Guánica, Puerto Rico",1622299781130,1622305470631,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021149006,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021149006&format=geojson,,,,,reviewed,0,94,pr,2021149006,",pr2021149006,",",pr,",",origin,phase-data,",12.0,0.2818,0.25,246.0,md,earthquake,"M 2.5 - 13 km SSE of Guánica, Puerto Rico"
1.7,"33 km SE of Mina, Nevada",1622299077648,1622312197266,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00808399,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00808399&format=geojson,,,,,automatic,0,44,nn,00808399,",nn00808399,",",nn,",",origin,phase-data,",15.0,0.003,0.3627,72.94,ml,earthquake,"M 1.7 - 33 km SE of Mina, Nevada"
0.2,"12km E of Mammoth Lakes, CA",1622299008950,1622306714470,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567201,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567201&format=geojson,,,,,reviewed,0,1,nc,73567201,",nc73567201,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.008615,0.06,136.0,md,earthquake,"M 0.2 - 12km E of Mammoth Lakes, CA"
